Customer Id,Artist Name,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Scheduled Date,Delivery Date,Customer Location,Cost,delivery_offset,scheduled_year_month,scheduled_month,Customer State,Area,Price per unit weight
fffe3900350033003300,Billy Jenkins,0.26,17.0,6.0,4128.0,Brass,13.91,16.27,Yes,Yes,No,Airways,No,Working Class,No,2015-06-07,2015-06-03,"New Michelle, OH 50777",-283.29,4,2015-06,06,OH,102.0,0.003369670542635659
fffe3800330031003900,Jean Bryant,0.28,3.0,3.0,61.0,Brass,6.83,15.0,No,No,No,Roadways,No,Working Class,No,2017-03-06,2017-03-05,"New Michaelport, WY 12072",-159.96,1,2017-03,03,WY,9.0,0.1119672131147541
fffe3600370035003100,Laura Miller,0.07,8.0,5.0,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes,2015-03-09,2015-03-08,"Bowmanshire, WA 19241",-154.29,1,2015-03,03,WA,40.0,0.020928270042194094
fffe350031003300,Robert Chaires,0.12,9.0,8.0,3102.0,Aluminium,5.81,16.31,No,No,No,Roadways,No,Wealthy,Yes,2015-05-24,2015-05-20,"East Robyn, KY 86375",-161.16,4,2015-05,05,KY,72.0,0.001872985170857511
fffe3900320038003400,Rosalyn Krol,0.15,17.0,6.0,324.0,Aluminium,3.18,11.94,Yes,Yes,Yes,Airways,No,Working Class,No,2016-12-18,2016-12-14,"Aprilside, PA 52793",-159.23,4,2016-12,12,PA,102.0,0.009814814814814816
fffe3300390039003900,Tracy Francis,0.99,46.0,19.0,1178.0,Wood,6.16,16.88,No,Yes,No,Airways,No,Wealthy,No,2015-08-28,2015-08-26,"Maddenberg, AL 43096",-1922.78,2,2015-08,08,AL,874.0,0.005229202037351444
fffe3800360033003700,David Hawes,0.64,17.0,9.0,7264.0,Brass,8.26,90.67,No,Yes,No,Roadways,No,Working Class,No,2016-06-05,2016-06-02,"South Matthew, WV 76033",-1536.66,3,2016-06,06,WV,153.0,0.0011371145374449339
fffe3800300039003800,David Osher,0.74,23.0,10.0,3287.0,Clay,12.81,13.25,Yes,No,No,Waterways,Yes,Wealthy,No,2019-06-04,2019-05-31,"Davidmouth, CA 37824",-422.42,4,2019-06,06,CA,230.0,0.0038971706723456043
fffe3800330032003900,Arnold Reel,0.0,6.0,4.0,108.0,Clay,3.98,19.76,Yes,No,No,Waterways,Yes,Working Class,Yes,2018-08-27,2018-08-23,"Lisaville, ND 43925",-160.1,4,2018-08,08,ND,24.0,0.03685185185185185
fffe3800310031003800,James Comfort,0.12,23.0,9.0,195226.0,Marble,245.63,49.25,No,No,No,Roadways,No,Working Class,No,2016-07-14,2016-07-10,"Jacobland, WV 85997",-834.27,4,2016-07,07,WV,207.0,0.0012581828240090971
